Round,Player,Hand,Score,Dealer Card,Dealer Score,Result,Reason
2444,3,9 3 6,18,3,18,3,Tie with Dealer
2444,4,6 4 6 2,18,3,18,3,Tie with Dealer
2444,5,2 3 7 Q,22,3,18,2,Bust
2445,1,Q 10,20,3,23,1,Dealer Bust
2445,2,2 6 5 7,20,3,23,1,Dealer Bust
2445,3,6 8 5,19,3,23,1,Dealer Bust
2445,4,2 10 6,18,3,23,1,Dealer Bust
2445,5,2 2 5 A,20,3,23,1,Dealer Bust
2446,1,K 8,18,3,17,1,Higher Score than Dealer
2446,2,4 A Q 6,21,3,17,1,Higher Score than Dealer
2446,3,8 3 J,21,3,17,1,Higher Score than Dealer
2446,4,J 8,18,3,17,1,Higher Score than Dealer
2446,5,8 K,18,3,17,1,Higher Score than Dealer
2447,1,4 J 2 4,20,3,17,1,Higher Score than Dealer
2447,2,4 10 J,24,3,17,2,Bust
2447,3,Q 5 9,24,3,17,2,Bust
2447,4,J J,20,3,17,1,Higher Score than Dealer
2447,5,K 10,20,3,17,1,Higher Score than Dealer
2448,1,7 10,17,10,25,1,Dealer Bust
2448,2,2 10 7,19,10,25,1,Dealer Bust
2448,3,9 7 K,26,10,25,2,Bust
2448,4,Q 4 7,21,10,25,1,Dealer Bust
2448,5,9 4 5,18,10,25,1,Dealer Bust
2449,1,K Q,20,2,22,1,Dealer Bust
2449,2,A 6,17,2,22,1,Dealer Bust
2449,3,10 A,21,2,22,1,Dealer Bust
2449,4,3 A A 6,21,2,22,1,Dealer Bust
2449,5,6 6 Q,22,2,22,2,Bust
2450,1,J A,21,3,23,1,Dealer Bust
2450,2,4 K 4,18,3,23,1,Dealer Bust
2450,3,5 9 6,20,3,23,1,Dealer Bust
2450,4,5 10 2,17,3,23,1,Dealer Bust
2450,5,3 7 A,21,3,23,1,Dealer Bust
2451,1,A 6,17,4,18,2,Lost to Dealer
2451,2,J Q,20,4,18,1,Higher Score than Dealer
2451,3,J Q,20,4,18,1,Higher Score than Dealer
2451,4,4 Q Q,24,4,18,2,Bust
2451,5,Q 2 9,21,4,18,1,Higher Score than Dealer
2452,1,10 A,21,7,17,1,Higher Score than Dealer
2452,2,K A,21,7,17,1,Higher Score than Dealer
2452,3,3 K 2 4,19,7,17,1,Higher Score than Dealer
2452,4,J 8,18,7,17,1,Higher Score than Dealer
2452,5,K 7,17,7,17,3,Tie with Dealer
2453,1,6 9 6,21,J,20,1,Higher Score than Dealer
2453,2,J 3 J,23,J,20,2,Bust
2453,3,2 K 5,17,J,20,2,Lost to Dealer
2453,4,7 4 7,18,J,20,2,Lost to Dealer
2453,5,3 K 10,23,J,20,2,Bust
2454,1,6 3 9,18,4,23,1,Dealer Bust
2454,2,A A 3 3,18,4,23,1,Dealer Bust
2454,3,8 6 5,19,4,23,1,Dealer Bust
2454,4,10 J,20,4,23,1,Dealer Bust
2454,5,A 6,17,4,23,1,Dealer Bust
2455,1,6 10 9,25,Q,20,2,Bust
2455,2,4 9 J,23,Q,20,2,Bust
2455,3,8 K,18,Q,20,2,Lost to Dealer
2455,4,5 2 8 Q,25,Q,20,2,Bust
2455,5,Q 9,19,Q,20,2,Lost to Dealer
2456,1,5 9 4,18,8,17,1,Higher Score than Dealer
2456,2,8 10,18,8,17,1,Higher Score than Dealer
2456,3,5 4 8,17,8,17,3,Tie with Dealer
2456,4,5 8 10,23,8,17,2,Bust
2456,5,Q 5 10,25,8,17,2,Bust
2457,1,K J,20,2,21,2,Lost to Dealer
2457,2,K 9,19,2,21,2,Lost to Dealer
2457,3,10 6 A,17,2,21,2,Lost to Dealer
2457,4,A 8,19,2,21,2,Lost to Dealer
2457,5,5 6 J,21,2,21,3,Tie with Dealer
2458,1,10 5 3,18,8,18,3,Tie with Dealer
2458,2,K 5 7,22,8,18,2,Bust
2458,3,K 3 2 3,18,8,18,3,Tie with Dealer
2458,4,Q 6 8,24,8,18,2,Bust
2458,5,5 4 6 A A 2,19,8,18,1,Higher Score than Dealer
2459,1,2 A K 3 K,26,Q,20,2,Bust
2459,2,4 5 3 5,17,Q,20,2,Lost to Dealer
2459,3,6 Q 2,18,Q,20,2,Lost to Dealer
2459,4,8 8 J,26,Q,20,2,Bust
2459,5,9 K,19,Q,20,2,Lost to Dealer
2460,1,9 7 A,17,2,18,2,Lost to Dealer
2460,2,9 J,19,2,18,1,Higher Score than Dealer
2460,3,10 6 K,26,2,18,2,Bust
2460,4,J K,20,2,18,1,Higher Score than Dealer
2460,5,Q 8,18,2,18,3,Tie with Dealer
2461,1,A 7,18,6,25,1,Dealer Bust
2461,2,K Q,20,6,25,1,Dealer Bust
2461,3,J Q,20,6,25,1,Dealer Bust
2461,4,5 J 10,25,6,25,2,Bust
2461,5,10 J,20,6,25,1,Dealer Bust
2462,1,3 4 4 6,17,J,20,2,Lost to Dealer
2462,2,10 3 A 3 8,25,J,20,2,Bust
2462,3,2 10 5,17,J,20,2,Lost to Dealer
2462,4,10 K,20,J,20,3,Tie with Dealer
2462,5,6 5 2 7,20,J,20,3,Tie with Dealer
2463,1,6 7 8,21,3,20,1,Higher Score than Dealer
2463,2,A 9,20,3,20,3,Tie with Dealer
2463,3,K 8,18,3,20,2,Lost to Dealer
2463,4,A 10,21,3,20,1,Higher Score than Dealer
2463,5,J 3 2 5,20,3,20,3,Tie with Dealer
2464,1,8 3 K,21,Q,22,1,Dealer Bust
2464,2,3 10 7,20,Q,22,1,Dealer Bust
2464,3,6 9 Q,25,Q,22,2,Bust
2464,4,3 Q 5,18,Q,22,1,Dealer Bust
2464,5,6 J A 2,19,Q,22,1,Dealer Bust
2465,1,10 8,18,A,21,2,Lost to Dealer
2465,2,4 Q K,24,A,21,2,Bust
2465,3,J 2 6,18,A,21,2,Lost to Dealer
2465,4,Q 8,18,A,21,2,Lost to Dealer
2465,5,Q 9,19,A,21,2,Lost to Dealer
2466,1,A 8,19,A,21,2,Lost to Dealer
2466,2,3 K K,23,A,21,2,Bust
2466,3,5 10 Q,25,A,21,2,Bust
2466,4,Q 9,19,A,21,2,Lost to Dealer
2466,5,Q 3 J,23,A,21,2,Bust
2467,1,7 Q,17,10,21,2,Lost to Dealer
2467,2,3 Q 5,18,10,21,2,Lost to Dealer
2467,3,10 Q,20,10,21,2,Lost to Dealer
2467,4,7 6 K,23,10,21,2,Bust
2467,5,Q 7,17,10,21,2,Lost to Dealer
2468,1,8 8 6,22,10,20,2,Bust
2468,2,8 4 10,22,10,20,2,Bust
2468,3,K 5 8,23,10,20,2,Bust
2468,4,3 K A 8,22,10,20,2,Bust
2468,5,9 A,20,10,20,3,Tie with Dealer
2469,1,10 A,21,10,23,1,Dealer Bust
2469,2,3 3 9 6,21,10,23,1,Dealer Bust
2469,3,9 K,19,10,23,1,Dealer Bust
2469,4,K 8,18,10,23,1,Dealer Bust
2469,5,2 10 A Q,23,10,23,2,Bust
2470,1,9 K,19,J,17,1,Higher Score than Dealer
2470,2,3 5 2 J,20,J,17,1,Higher Score than Dealer
2470,3,10 4 J,24,J,17,2,Bust
2470,4,4 6 10,20,J,17,1,Higher Score than Dealer
2470,5,8 4 8,20,J,17,1,Higher Score than Dealer
2471,1,7 5 5,17,6,21,2,Lost to Dealer
2471,2,Q 4 2 5,21,6,21,3,Tie with Dealer
2471,3,9 7 K,26,6,21,2,Bust
2471,4,5 5 9,19,6,21,2,Lost to Dealer
2471,5,A 7,18,6,21,2,Lost to Dealer
2472,1,4 10 5,19,9,21,2,Lost to Dealer
2472,2,J Q,20,9,21,2,Lost to Dealer
2472,3,4 A K 5,20,9,21,2,Lost to Dealer
2472,4,2 10 4 3,19,9,21,2,Lost to Dealer
2472,5,3 5 10,18,9,21,2,Lost to Dealer
2473,1,6 7 6,19,A,17,1,Higher Score than Dealer
2473,2,3 5 9,17,A,17,3,Tie with Dealer
2473,3,J 2 5,17,A,17,3,Tie with Dealer
2473,4,8 4 2 5,19,A,17,1,Higher Score than Dealer
2473,5,K 3 J,23,A,17,2,Bust
2474,1,7 7 8,22,5,23,2,Bust
2474,2,7 7 9,23,5,23,2,Bust
2474,3,7 9 9,25,5,23,2,Bust
2474,4,A Q,21,5,23,1,Dealer Bust
2474,5,6 3 4 J,23,5,23,2,Bust
2475,1,7 4 7,18,5,17,1,Higher Score than Dealer
2475,2,9 5 8,22,5,17,2,Bust
2475,3,A 9,20,5,17,1,Higher Score than Dealer
2475,4,4 9 6,19,5,17,1,Higher Score than Dealer
2475,5,8 A,19,5,17,1,Higher Score than Dealer
2476,1,6 Q 8,24,6,21,2,Bust
2476,2,J 6 K,26,6,21,2,Bust
2476,3,10 8,18,6,21,2,Lost to Dealer
2476,4,3 2 5 J,20,6,21,2,Lost to Dealer
2476,5,4 9 8,21,6,21,3,Tie with Dealer
2477,1,A 10,21,7,26,1,Dealer Bust
2477,2,2 3 K 6,21,7,26,1,Dealer Bust
2477,3,2 9 9,20,7,26,1,Dealer Bust
2477,4,Q A,21,7,26,1,Dealer Bust
2477,5,2 5 Q,17,7,26,1,Dealer Bust
2478,1,A Q,21,7,21,3,Tie with Dealer
2478,2,5 9 9,23,7,21,2,Bust
2478,3,A 3 4,18,7,21,2,Lost to Dealer
2478,4,Q 5 K,25,7,21,2,Bust
2478,5,4 3 J,17,7,21,2,Lost to Dealer
2479,1,3 9 2 8,22,7,17,2,Bust
2479,2,Q 5 6,21,7,17,1,Higher Score than Dealer
2479,3,3 10 6,19,7,17,1,Higher Score than Dealer
2479,4,5 8 J,23,7,17,2,Bust
2479,5,A 5 Q 2,18,7,17,1,Higher Score than Dealer
2480,1,10 6 J,26,J,18,2,Bust
2480,2,K 7,17,J,18,2,Lost to Dealer
2480,3,Q K,20,J,18,1,Higher Score than Dealer
2480,4,6 8 8,22,J,18,2,Bust
2480,5,A 8,19,J,18,1,Higher Score than Dealer
2481,1,7 Q,17,3,18,2,Lost to Dealer
2481,2,A Q,21,3,18,1,Higher Score than Dealer
2481,3,7 3 J,20,3,18,1,Higher Score than Dealer
2481,4,3 Q 10,23,3,18,2,Bust
2481,5,3 9 10,22,3,18,2,Bust
2482,1,6 A K J,27,K,18,2,Bust
2482,2,6 A 6 2 4,19,K,18,1,Higher Score than Dealer
2482,3,8 10,18,K,18,3,Tie with Dealer
2482,4,6 5 4 3,18,K,18,3,Tie with Dealer
2482,5,7 A,18,K,18,3,Tie with Dealer
2483,1,A Q,21,9,17,1,Higher Score than Dealer
2483,2,5 8 4,17,9,17,3,Tie with Dealer
2483,3,Q A,21,9,17,1,Higher Score than Dealer
2483,4,5 6 9,20,9,17,1,Higher Score than Dealer
2483,5,2 K 3 9,24,9,17,2,Bust
2484,1,3 Q 4,17,Q,24,1,Dealer Bust
2484,2,9 3 10,22,Q,24,2,Bust
2484,3,5 9 5,19,Q,24,1,Dealer Bust
2484,4,J A,21,Q,24,1,Dealer Bust
2484,5,3 J A 3 Q,27,Q,24,2,Bust
2485,1,9 4 Q,23,6,22,2,Bust
2485,2,3 9 7,19,6,22,1,Dealer Bust
2485,3,10 K,20,6,22,1,Dealer Bust
2485,4,9 4 7,20,6,22,1,Dealer Bust
2485,5,9 2 9,20,6,22,1,Dealer Bust
2486,1,4 10 8,22,3,22,2,Bust
2486,2,8 3 3 A J,25,3,22,2,Bust
2486,3,K 9,19,3,22,1,Dealer Bust
2486,4,2 3 J 10,25,3,22,2,Bust
2486,5,J J,20,3,22,1,Dealer Bust
2487,1,9 10,19,6,22,1,Dealer Bust
2487,2,3 2 8 8,21,6,22,1,Dealer Bust
2487,3,3 6 4 7,20,6,22,1,Dealer Bust
2487,4,K 4 9,23,6,22,2,Bust
2487,5,7 3 2 3 2,17,6,22,1,Dealer Bust
2488,1,Q 7,17,6,22,1,Dealer Bust
2488,2,A 4 5,20,6,22,1,Dealer Bust
2488,3,5 4 9,18,6,22,1,Dealer Bust
2488,4,A 4 3,18,6,22,1,Dealer Bust
2488,5,Q 2 6,18,6,22,1,Dealer Bust
2489,1,A 2 2 7 2 7,21,K,20,1,Higher Score than Dealer
2489,2,8 9,17,K,20,2,Lost to Dealer
2489,3,Q 8,18,K,20,2,Lost to Dealer
2489,4,A 10,21,K,20,1,Higher Score than Dealer
2489,5,Q J,20,K,20,3,Tie with Dealer
2490,1,8 7 J,25,J,18,2,Bust
2490,2,5 3 9,17,J,18,2,Lost to Dealer
2490,3,J 5 9,24,J,18,2,Bust
2490,4,2 4 J K,26,J,18,2,Bust
2490,5,8 8 6,22,J,18,2,Bust
2491,1,6 7 4,17,6,17,3,Tie with Dealer
2491,2,Q A,21,6,17,1,Higher Score than Dealer
2491,3,K J,20,6,17,1,Higher Score than Dealer
2491,4,8 9,17,6,17,3,Tie with Dealer
2491,5,3 J 7,20,6,17,1,Higher Score than Dealer
2492,1,9 5 A 8,23,9,23,2,Bust
2492,2,6 5 8,19,9,23,1,Dealer Bust
2492,3,J 5 5,20,9,23,1,Dealer Bust
2492,4,10 A,21,9,23,1,Dealer Bust
2492,5,K 8,18,9,23,1,Dealer Bust
2493,1,Q 3 K,23,6,26,2,Bust
2493,2,J K,20,6,26,1,Dealer Bust
2493,3,5 10 8,23,6,26,2,Bust
2493,4,3 10 3 6,22,6,26,2,Bust
2493,5,A K,21,6,26,1,Dealer Bust
2494,1,8 2 3 3 7,23,K,20,2,Bust
2494,2,2 6 A,19,K,20,2,Lost to Dealer
2494,3,Q 6 6,22,K,20,2,Bust
2494,4,Q 8,18,K,20,2,Lost to Dealer
2494,5,7 4 J,21,K,20,1,Higher Score than Dealer
2495,1,4 J 5,19,9,24,1,Dealer Bust
2495,2,7 7 10,24,9,24,2,Bust
2495,3,9 2 4 2,17,9,24,1,Dealer Bust
2495,4,J 4 A 3,18,9,24,1,Dealer Bust
2495,5,7 6 10,23,9,24,2,Bust
2496,1,4 10 A 2,17,3,24,1,Dealer Bust
2496,2,Q 4 6,20,3,24,1,Dealer Bust
2496,3,5 8 A A J,25,3,24,2,Bust
2496,4,A 10,21,3,24,1,Dealer Bust
2496,5,3 A J 8,22,3,24,2,Bust
2497,1,Q Q,20,J,18,1,Higher Score than Dealer
2497,2,7 9 Q,26,J,18,2,Bust
2497,3,10 K,20,J,18,1,Higher Score than Dealer
2497,4,A K,21,J,18,1,Higher Score than Dealer
2497,5,5 A 3,19,J,18,1,Higher Score than Dealer
2498,1,J 2 9,21,J,24,1,Dealer Bust
2498,2,J 3 5,18,J,24,1,Dealer Bust
2498,3,A A 2 3 7 9,23,J,24,2,Bust
2498,4,4 8 A K,23,J,24,2,Bust
2498,5,6 3 J,19,J,24,1,Dealer Bust
2499,1,9 A,20,8,18,1,Higher Score than Dealer
2499,2,3 J 5,18,8,18,3,Tie with Dealer
2499,3,9 Q,19,8,18,1,Higher Score than Dealer
2499,4,J 6 7,23,8,18,2,Bust
2499,5,8 7 8,23,8,18,2,Bust
2500,1,K Q,20,2,22,1,Dealer Bust
2500,2,8 2 2 9,21,2,22,1,Dealer Bust
2500,3,5 J 5,20,2,22,1,Dealer Bust
2500,4,K 2 10,22,2,22,2,Bust
2500,5,J 2 3 5,20,2,22,1,Dealer Bust
2501,1,5 3 6 K,24,K,18,2,Bust
2501,2,8 9,17,K,18,2,Lost to Dealer
2501,3,3 K 8,21,K,18,1,Higher Score than Dealer
2501,4,4 10 8,22,K,18,2,Bust
2501,5,J J,20,K,18,1,Higher Score than Dealer
2502,1,2 7 2 6,17,3,23,1,Dealer Bust
2502,2,5 8 2 10,25,3,23,2,Bust
2502,3,Q 4 K,24,3,23,2,Bust
2502,4,J J,20,3,23,1,Dealer Bust
2502,5,5 10 4,19,3,23,1,Dealer Bust
2503,1,Q 2 K,22,5,20,2,Bust
2503,2,9 J,19,5,20,2,Lost to Dealer
2503,3,A K,21,5,20,1,Higher Score than Dealer
2503,4,4 A 10 Q,25,5,20,2,Bust
2503,5,9 4 Q,23,5,20,2,Bust
2504,1,7 K,17,10,20,2,Lost to Dealer
2504,2,A 4 5,20,10,20,3,Tie with Dealer
2504,3,A K,21,10,20,1,Higher Score than Dealer
2504,4,A 4 6,21,10,20,1,Higher Score than Dealer
2504,5,2 8 10,20,10,20,3,Tie with Dealer
2505,1,9 10,19,7,18,1,Higher Score than Dealer
2505,2,8 2 5 2,17,7,18,2,Lost to Dealer
2505,3,3 4 3 6 A 6,23,7,18,2,Bust
2505,4,9 5 K,24,7,18,2,Bust
2505,5,6 9 5,20,7,18,1,Higher Score than Dealer
2506,1,6 3 2 6,17,7,19,2,Lost to Dealer
2506,2,9 10,19,7,19,3,Tie with Dealer
2506,3,6 10 A 4,21,7,19,1,Higher Score than Dealer
2506,4,9 Q,19,7,19,3,Tie with Dealer
2506,5,Q 2 4 J,26,7,19,2,Bust
2507,1,A 9,20,8,18,1,Higher Score than Dealer
2507,2,8 10,18,8,18,3,Tie with Dealer
2507,3,A 9,20,8,18,1,Higher Score than Dealer
2507,4,J 4 2 K,26,8,18,2,Bust
2507,5,6 K 8,24,8,18,2,Bust
2508,1,Q 2 K,22,5,19,2,Bust
2508,2,5 7 A 2 10,25,5,19,2,Bust
2508,3,3 7 5 J,25,5,19,2,Bust
2508,4,2 4 3 7 2,18,5,19,2,Lost to Dealer
2508,5,A 3 6,20,5,19,1,Higher Score than Dealer
2509,1,2 4 Q 9,25,2,18,2,Bust
2509,2,Q 10,20,2,18,1,Higher Score than Dealer
2509,3,2 Q A 5,18,2,18,3,Tie with Dealer
2509,4,8 4 6,18,2,18,3,Tie with Dealer
2509,5,10 7,17,2,18,2,Lost to Dealer
2510,1,2 10 5,17,3,17,3,Tie with Dealer
2510,2,6 6 Q,22,3,17,2,Bust
2510,3,10 4 A 2,17,3,17,3,Tie with Dealer
2510,4,K 9,19,3,17,1,Higher Score than Dealer
2510,5,J 3 A 4,18,3,17,1,Higher Score than Dealer
2511,1,3 K 6,19,4,21,2,Lost to Dealer
2511,2,10 2 A 4,17,4,21,2,Lost to Dealer
2511,3,2 8 8,18,4,21,2,Lost to Dealer
2511,4,J Q,20,4,21,2,Lost to Dealer
2511,5,K Q,20,4,21,2,Lost to Dealer
2512,1,K K,20,9,19,1,Higher Score than Dealer
2512,2,J 3 J,23,9,19,2,Bust
2512,3,7 10,17,9,19,2,Lost to Dealer
2512,4,2 10 A A 9,23,9,19,2,Bust
2512,5,Q 10,20,9,19,1,Higher Score than Dealer
2513,1,Q 5 8,23,4,20,2,Bust
2513,2,K 4 9,23,4,20,2,Bust
2513,3,9 4 8,21,4,20,1,Higher Score than Dealer
2513,4,2 9 A 10,22,4,20,2,Bust
2513,5,A 5 5,21,4,20,1,Higher Score than Dealer
2514,1,8 5 8,21,4,21,3,Tie with Dealer
2514,2,9 8,17,4,21,2,Lost to Dealer
2514,3,7 8 6,21,4,21,3,Tie with Dealer
2514,4,3 J 9,22,4,21,2,Bust
2514,5,8 9,17,4,21,2,Lost to Dealer
2515,1,6 4 2 6,18,8,19,2,Lost to Dealer
2515,2,8 9,17,8,19,2,Lost to Dealer
2515,3,4 J A A A 10,27,8,19,2,Bust
2515,4,6 J 7,23,8,19,2,Bust
2515,5,10 Q,20,8,19,1,Higher Score than Dealer
2516,1,4 K 9,23,5,20,2,Bust
2516,2,5 6 2 Q,23,5,20,2,Bust
2516,3,J 2 9,21,5,20,1,Higher Score than Dealer
2516,4,A 2 4,17,5,20,2,Lost to Dealer
2516,5,8 K,18,5,20,2,Lost to Dealer
2517,1,8 A,19,K,20,2,Lost to Dealer
2517,2,10 4 6,20,K,20,3,Tie with Dealer
2517,3,J Q,20,K,20,3,Tie with Dealer
2517,4,4 K K,24,K,20,2,Bust
2517,5,2 8 4 3,17,K,20,2,Lost to Dealer
2518,1,10 10,20,K,22,1,Dealer Bust
2518,2,9 5 8,22,K,22,2,Bust
2518,3,3 6 10,19,K,22,1,Dealer Bust
2518,4,6 6 3 Q,25,K,22,2,Bust
2518,5,6 6 6,18,K,22,1,Dealer Bust
2519,1,7 K,17,3,18,2,Lost to Dealer
2519,2,2 4 8 J,24,3,18,2,Bust
2519,3,6 3 5 8,22,3,18,2,Bust
2519,4,5 J 10,25,3,18,2,Bust
2519,5,9 6 8,23,3,18,2,Bust
2520,1,K J,20,10,23,1,Dealer Bust
2520,2,9 Q,19,10,23,1,Dealer Bust
2520,3,10 3 Q,23,10,23,2,Bust
2520,4,8 J,18,10,23,1,Dealer Bust
2520,5,7 3 10,20,10,23,1,Dealer Bust
2521,1,7 J,17,3,21,2,Lost to Dealer
2521,2,10 Q,20,3,21,2,Lost to Dealer
2521,3,3 8 6,17,3,21,2,Lost to Dealer
2521,4,2 J 8,20,3,21,2,Lost to Dealer
2521,5,4 10 5,19,3,21,2,Lost to Dealer
2522,1,5 9 10,24,10,22,2,Bust
2522,2,J 9,19,10,22,1,Dealer Bust
2522,3,7 8 5,20,10,22,1,Dealer Bust
2522,4,3 7 A,21,10,22,1,Dealer Bust
2522,5,5 A 4,20,10,22,1,Dealer Bust
2523,1,8 Q,18,4,17,1,Higher Score than Dealer
2523,2,7 A,18,4,17,1,Higher Score than Dealer
2523,3,4 3 3 2 9,21,4,17,1,Higher Score than Dealer
2523,4,10 7,17,4,17,3,Tie with Dealer
2523,5,Q 2 4 3,19,4,17,1,Higher Score than Dealer
2524,1,5 5 K,20,7,22,1,Dealer Bust
2524,2,5 K 2,17,7,22,1,Dealer Bust
2524,3,K K,20,7,22,1,Dealer Bust
2524,4,10 3 8,21,7,22,1,Dealer Bust
2524,5,8 J,18,7,22,1,Dealer Bust
2525,1,3 J Q,23,5,25,2,Bust
2525,2,9 Q,19,5,25,1,Dealer Bust
2525,3,K K,20,5,25,1,Dealer Bust
2525,4,4 8 Q,22,5,25,2,Bust
2525,5,9 2 7,18,5,25,1,Dealer Bust
2526,1,10 2 9,21,9,21,3,Tie with Dealer
2526,2,2 6 7 3,18,9,21,2,Lost to Dealer
2526,3,2 K 10,22,9,21,2,Bust
2526,4,7 8 Q,25,9,21,2,Bust
2526,5,8 J,18,9,21,2,Lost to Dealer
2527,1,9 A,20,5,19,1,Higher Score than Dealer
2527,2,4 Q 10,24,5,19,2,Bust
2527,3,4 J 8,22,5,19,2,Bust
2527,4,2 3 K 9,24,5,19,2,Bust
2527,5,Q 3 8,21,5,19,1,Higher Score than Dealer
2528,1,9 2 10,21,K,20,1,Higher Score than Dealer
2528,2,6 8 K,24,K,20,2,Bust
2528,3,Q 4 7,21,K,20,1,Higher Score than Dealer
2528,4,A K,21,K,20,1,Higher Score than Dealer
2528,5,A J,21,K,20,1,Higher Score than Dealer
2529,1,9 5 8,22,8,18,2,Bust
2529,2,6 10 K,26,8,18,2,Bust
2529,3,8 9,17,8,18,2,Lost to Dealer
2529,4,3 K 2 A 10,26,8,18,2,Bust
2529,5,7 J,17,8,18,2,Lost to Dealer
2530,1,A Q,21,Q,19,1,Higher Score than Dealer
2530,2,7 J,17,Q,19,2,Lost to Dealer
2530,3,J 9,19,Q,19,3,Tie with Dealer
2530,4,2 5 Q,17,Q,19,2,Lost to Dealer
2530,5,4 4 Q,18,Q,19,2,Lost to Dealer
2531,1,A 3 8 6,18,2,26,1,Dealer Bust
2531,2,9 Q,19,2,26,1,Dealer Bust
2531,3,2 10 Q,22,2,26,2,Bust
2531,4,4 2 Q Q,26,2,26,2,Bust
2531,5,7 Q,17,2,26,1,Dealer Bust
2532,1,7 6 J,23,3,24,2,Bust
2532,2,3 4 8 3,18,3,24,1,Dealer Bust
2532,3,8 7 3,18,3,24,1,Dealer Bust
2532,4,4 10 Q,24,3,24,2,Bust
2532,5,6 3 8,17,3,24,1,Dealer Bust
2533,1,Q J,20,10,20,3,Tie with Dealer
2533,2,A 10,21,10,20,1,Higher Score than Dealer
2533,3,K 10,20,10,20,3,Tie with Dealer
2533,4,4 9 K,23,10,20,2,Bust
2533,5,7 7 4,18,10,20,2,Lost to Dealer
2534,1,A J,21,10,20,1,Higher Score than Dealer
2534,2,7 5 Q,22,10,20,2,Bust
2534,3,8 2 3 Q,23,10,20,2,Bust
2534,4,K A,21,10,20,1,Higher Score than Dealer
2534,5,8 9,17,10,20,2,Lost to Dealer
2535,1,8 5 4,17,3,20,2,Lost to Dealer
2535,2,J 7,17,3,20,2,Lost to Dealer
2535,3,4 A Q 7,22,3,20,2,Bust
2535,4,5 8 6,19,3,20,2,Lost to Dealer
2535,5,6 A,17,3,20,2,Lost to Dealer
2536,1,J 8,18,Q,20,2,Lost to Dealer
2536,2,4 Q K,24,Q,20,2,Bust
2536,3,9 A,20,Q,20,3,Tie with Dealer
2536,4,9 10,19,Q,20,2,Lost to Dealer
2536,5,Q Q,20,Q,20,3,Tie with Dealer
2537,1,7 6 6,19,6,20,2,Lost to Dealer
2537,2,J 3 5,18,6,20,2,Lost to Dealer
2537,3,3 7 4 4,18,6,20,2,Lost to Dealer
2537,4,7 4 Q,21,6,20,1,Higher Score than Dealer
2537,5,9 7 5,21,6,20,1,Higher Score than Dealer
2538,1,7 J,17,J,23,1,Dealer Bust
2538,2,Q Q,20,J,23,1,Dealer Bust
2538,3,3 8 5 6,22,J,23,2,Bust
2538,4,Q 8,18,J,23,1,Dealer Bust
2538,5,10 7,17,J,23,1,Dealer Bust
2539,1,10 9,19,A,20,2,Lost to Dealer
2539,2,2 4 7 9,22,A,20,2,Bust
2539,3,2 6 4 8,20,A,20,3,Tie with Dealer
2539,4,A 5 8 5,19,A,20,2,Lost to Dealer
2539,5,J 10,20,A,20,3,Tie with Dealer
2540,1,K Q,20,6,26,1,Dealer Bust
2540,2,4 5 6 9,24,6,26,2,Bust
2540,3,6 7 J,23,6,26,2,Bust
2540,4,Q 10,20,6,26,1,Dealer Bust
2540,5,7 A,18,6,26,1,Dealer Bust
2541,1,5 2 7 2 5,21,8,19,1,Higher Score than Dealer
2541,2,J 9,19,8,19,3,Tie with Dealer
2541,3,9 7 J,26,8,19,2,Bust
2541,4,A 8,19,8,19,3,Tie with Dealer
2541,5,5 4 4 9,22,8,19,2,Bust
2542,1,J K,20,3,20,3,Tie with Dealer
2542,2,4 10 6,20,3,20,3,Tie with Dealer
2542,3,6 J 4,20,3,20,3,Tie with Dealer
2542,4,4 3 10,17,3,20,2,Lost to Dealer
2542,5,8 5 10,23,3,20,2,Bust
2543,1,K J,20,3,23,1,Dealer Bust
2543,2,8 7 J,25,3,23,2,Bust
2543,3,A J,21,3,23,1,Dealer Bust
2543,4,7 8 10,25,3,23,2,Bust
2543,5,7 5 10,22,3,23,2,Bust
2544,1,3 9 5,17,9,19,2,Lost to Dealer
2544,2,3 8 6,17,9,19,2,Lost to Dealer
2544,3,10 10,20,9,19,1,Higher Score than Dealer
2544,4,A 3 K 4,18,9,19,2,Lost to Dealer
2544,5,Q 3 7,20,9,19,1,Higher Score than Dealer
2545,1,9 6 8,23,6,21,2,Bust
2545,2,K 5 6,21,6,21,3,Tie with Dealer
2545,3,2 10 7,19,6,21,2,Lost to Dealer
2545,4,Q 6 6,22,6,21,2,Bust
2545,5,9 6 3,18,6,21,2,Lost to Dealer
2546,1,4 5 6 4,19,3,20,2,Lost to Dealer
2546,2,4 10 3,17,3,20,2,Lost to Dealer
2546,3,10 6 2,18,3,20,2,Lost to Dealer
2546,4,7 K,17,3,20,2,Lost to Dealer
2546,5,9 5 4,18,3,20,2,Lost to Dealer
2547,1,4 8 4 Q,26,A,24,2,Bust
2547,2,3 K 8,21,A,24,1,Dealer Bust
2547,3,10 9,19,A,24,1,Dealer Bust
2547,4,8 6 8,22,A,24,2,Bust
2547,5,7 A,18,A,24,1,Dealer Bust
2548,1,7 4 10,21,9,23,1,Dealer Bust
2548,2,A A 10 K,22,9,23,2,Bust
2548,3,9 4 A 3 2,19,9,23,1,Dealer Bust
2548,4,K 9,19,9,23,1,Dealer Bust
2548,5,5 3 8 5,21,9,23,1,Dealer Bust
